basin_id,region_folder,region_code,gauge_name,country,gauge_lat,gauge_lon,area_km2,frac_snow,aridity,aridity_source,dor_pc_pva,hft_ix_s09,hft_ix_s93,pre_mm_syr,snow_bin,arid_bin,dor_bin,stratum,batch,seed,include_in_batch
camels_02149000,camels,US,"COVE CREEK NEAR LAKE LURE, NC",United States of America,35.42345,-82.1115,203.8105282244164,0.0,0.6581137,aridity_FAO_PM,271,52.20633837351781,47.069254467436245,1336.5483356243265,S0_lt0.1,A0_humid,D1_ge0.1,S0_lt0.1|A0_humid|D1_ge0.1,batch1_camels_n14,20260816.0,True
camels_08086290,camels,US,"Big Sandy Ck abv Breckenridge, TX",United States of America,32.64846,-99.00451,733.82035197976,0.0,1.9230783,aridity_FAO_PM,3520,67.74831106360098,63.81281472263244,694.6104155069107,S0_lt0.1,A2_arid,D1_ge0.1,S0_lt0.1|A2_arid|D1_ge0.1,batch1_camels_n14,20260816.0,True
camels_14362250,camels,US,"STAR GULCH NEAR RUCH, OR.",United States of America,42.15401,-123.07532,43.88453813298781,0.0,0.84568805,aridity_FAO_PM,232,33.84348689583934,32.907295195771184,719.6033820376741,S0_lt0.1,A1_subhumid,D1_ge0.1,S0_lt0.1|A1_subhumid|D1_ge0.1,batch1_camels_n14,20260816.0,True
camels_03368000,camels,US,"BRUSH CREEK NEAR NEBRASKA, IN",United States of America,39.07033,-85.48608,32.48820271238329,0.07095362,0.7324092,aridity_FAO_PM,0,124.8704460712251,113.96539921321217,1096.541722223698,S0_lt0.1,A0_humid,D0_lt0.1,S0_lt0.1|A0_humid|D0_lt0.1,batch1_camels_n14,20260816.0,True
camels_04057800,camels,US,"MIDDLE BRANCH ESCANABA RIVER AT HUMBOLDT, MI",United States of America,46.4991,-87.88652,121.50722336072812,0.29129842,0.6991102,aridity_FAO_PM,279,63.23042764241436,66.23042764241436,826.7070410375204,S1_0.1_0.3,A0_humid,D1_ge0.1,S1_0.1_0.3|A0_humid|D1_ge0.1,batch1_camels_n14,20260816.0,True
camels_05123400,camels,US,"WILLOW CREEK NR WILLOW CITY, ND",United States of America,48.58889,-100.44208,3210.3108477605547,0.21615389,1.1497271,aridity_FAO_PM,207,57.39213482182298,83.90536331768867,433.1648120372174,S1_0.1_0.3,A1_subhumid,D1_ge0.1,S1_0.1_0.3|A1_subhumid|D1_ge0.1,batch1_camels_n14,20260816.0,True
camels_06339100,camels,US,"KNIFE RIVER AT MANNING, ND",United States of America,47.23613,-102.76991,528.2812277528319,0.21699156,1.5826339,aridity_FAO_PM,0,31.49594010288599,32.24606769535664,412.0718933550711,S1_0.1_0.3,A2_arid,D0_lt0.1,S1_0.1_0.3|A2_arid|D0_lt0.1,batch1_camels_n14,20260816.0,True
camels_06447000,camels,US,WHITE R NEAR KADOKA SD,United States of America,43.7525,-101.52487,12845.193533190592,0.11402522,1.6740073,aridity_FAO_PM,91,49.646400874541776,45.52557692961347,428.3095638910292,S1_0.1_0.3,A2_arid,D1_ge0.1,S1_0.1_0.3|A2_arid|D1_ge0.1,batch1_camels_n14,20260816.0,True
camels_01031500,camels,US,"Piscataquis River near Dover-Foxcroft, Maine",United States of America,45.17501,-69.3147,764.8241487847673,0.3062726,0.51058507,aridity_FAO_PM,0,43.01516702270232,42.86967114825488,1079.2687766626389,S2_gt0.3,A0_humid,D0_lt0.1,S2_gt0.3|A0_humid|D0_lt0.1,batch1_camels_n14,20260816.0,True
camels_10348850,camels,US,GALENA C AT GALENA C STATE PARK,United States of America,39.35435,-119.85852,22.15062655767711,0.6012107,1.5424113,aridity_FAO_PM,0,173.6538316214631,141.16058999940407,467.2076892229497,S2_gt0.3,A2_arid,D0_lt0.1,S2_gt0.3|A2_arid|D0_lt0.1,batch1_camels_n14,20260816.0,True
camels_09223000,camels,US,"HAMS FORK BELOW POLE CREEK, NEAR FRONTIER, WY",United States of America,42.11049,-110.70962,333.7724046032455,0.5751422,1.3722756,aridity_FAO_PM,0,8.59245847605465,8.244642641617798,412.4943076288872,S2_gt0.3,A2_arid,D0_lt0.1,S2_gt0.3|A2_arid|D0_lt0.1,batch1_camels_n14,20260816.0,True
camels_09312600,camels,US,"WHITE RIVER BL TABBYUNE C NEAR SOLDIER SUMMIT, UT",United States of America,39.87579,-111.03739,198.3808773348321,0.42334953,1.3663266,aridity_FAO_PM,0,19.25719748553152,18.62590236717288,483.6393842451373,S2_gt0.3,A2_arid,D0_lt0.1,S2_gt0.3|A2_arid|D0_lt0.1,batch1_camels_n14,20260816.0,True
camels_01013500,camels,US,"Fish River near Fort Kent, Maine",United States of America,47.23739,-68.58264,2297.683154625437,0.37453797,0.4925567,aridity_FAO_PM,0,28.96423794616464,30.58188320136971,985.201704795201,S2_gt0.3,A0_humid,D0_lt0.1,S2_gt0.3|A0_humid|D0_lt0.1,batch1_camels_n14,,
camels_14306500,camels,US,"ALSEA RIVER NEAR TIDEWATER, OR",United States of America,44.38595,-123.83178,859.0839121240878,0.0,0.48999003,aridity_FAO_PM,0,35.38149938644058,34.306842278456934,2020.673470537419,S0_lt0.1,A0_humid,D0_lt0.1,S0_lt0.1|A0_humid|D0_lt0.1,batch1_camels_n14,,
